,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
shuttle-c0-vs-c4,100,10.19,10.16,10.16,11.03,10.03,10.03,10.16,10.18,11.03,95.08,11.03,92.06,92.06,96.67,96.67,96.67,10.03,24.17,92.06,92.06,96.67,80.56,96.67,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,100,100,100,100,100,73.42,11.11,100,100,84.06,100,100
vowel0,95.52,97.06,97.06,97.06,97.06,76.09,90.91,95.65,97.06,97.14,61.39,97.06,94.29,80.6,86.57,86.57,89.19,22.58,31.13,86.57,79.31,19.14,67.31,82.35,65.26,66.67,64.58,71.43,63.27,44.59,54.69,66.67,66.67,63.27,59.83,65.96,100,100,100,100,100,26.32,70.71,100,100,97.22,64.22,100
winequality-red-3_vs_5,0,17.39,17.39,22.22,0,3.19,6.45,16,16.67,4.55,7.06,20,40,0,0,0,40,2.84,3.57,10.53,0,0,4.82,28.57,11.11,10.26,9.3,7.41,0,2.84,2.86,8,10,2.87,13.04,10.34,0,23.53,25,19.05,40,3.11,4.76,23.53,25,16.67,13.33,22.22
winequality-red-4,0,5.94,5.71,2.6,0,6.15,6.99,5.06,8.25,5.93,15.79,9.09,0,3.39,4.76,14.08,0,6.07,6.1,5.48,1.92,4.56,12.5,13.79,9.52,10.88,9.33,12.63,0,6.06,6.11,11.38,9.46,6.29,3.41,10.59,0,9.2,6.59,11.27,8.33,6.07,6.11,24,5.26,8.89,10.69,16.84
winequality-red-8_vs_6,0,13.79,14.29,14.29,20,7.45,10.34,9.76,13.79,14.55,10.42,16.67,0,17.39,11.76,16.67,28.57,6.03,5.62,22.22,25,9.3,8.89,23.08,17.14,14.81,16.67,15.38,28.57,5.91,5.91,13.33,17.39,6.22,14.55,16.22,0,7.14,7.41,11.11,14.29,5.91,6.06,6.25,7.69,10.91,19.23,18.75
winequality-white-3-9_vs_5,0,10.1,10,20,20,3.24,3.96,6.78,9.43,7.14,10.64,12.5,26.32,4.69,7.69,13.04,20,3.96,4.38,5.66,4.21,3.97,8.45,6.06,9.27,9.27,9.33,18.18,20,3.96,3.96,8.33,9.33,3.98,13.19,10.6,0,7.06,9.46,24.39,20,3.97,4,7.58,6.29,5.97,17.54,11.59
winequality-white-3_vs_7,50,3.85,3.74,2.56,25,2.2,1.61,4.35,3.92,4.08,4.65,5,7.84,6,3.81,2.99,40,2.2,2.21,2.44,4,3.85,2.27,14.81,2.56,2.62,2.62,2.79,7.84,2.2,2.2,2.71,2.67,2.23,2.23,2.6,3.54,1.9,1.89,2.52,80,2.33,2.27,1.83,1.91,4.12,2.74,5.45
yeast-0-5-6-7-9_vs_4,53.85,48.15,48.15,53.06,55.81,32.97,46.43,48.39,50.98,21.58,31.43,56.52,58.82,39.13,31.82,36.73,43.75,20.45,9.52,46.88,37.21,18.6,45,46.15,19.16,19.75,18.99,19.63,19.39,0,19.51,19.11,18.87,44,30.43,39.02,50,48.15,48.28,45.61,50.98,39.47,51.61,45.9,54.17,29.63,48.15,50.79
yeast-1-2-8-9_vs_7,16.67,8.33,8,22.22,14.29,9.58,9.09,6.06,7.41,8,7.92,16.22,22.22,10.96,12.12,5.26,11.11,6.85,22.22,16.67,10.17,6.85,7.22,23.53,7.38,8.16,7.59,7.63,7.22,14.29,8.03,7.63,7.41,20,7.94,13.11,0,8.33,13.33,8.7,9.52,17.07,10,12.12,16,7.52,8.18,22.22
yeast-1-4-5-8_vs_7,0,26.67,31.11,26.09,26.67,17.5,16.22,26.42,25,9.94,10.26,29.27,0,9.09,10.53,7.69,0,8.37,0,13.64,7.41,8.37,0,19.35,9.18,8.89,8.94,9.41,8.33,0,9.52,8.94,9.84,0,8.33,13.33,0,16.39,16.13,22.73,27.03,14.81,18.75,12,14.29,10,12.77,75.6
yeast-1_vs_7,22.22,33.33,28.57,43.48,50,17.72,28.57,23.26,29.41,15.38,20.41,36.36,50,17.78,22.22,35.71,28.57,11.03,0,22.86,25,11.03,27.03,38.1,12.84,11.76,11.9,10.99,17.91,28.57,23.81,11.24,11.9,11.76,21.43,36.36,0,24.39,26.32,27.59,26.67,19.44,33.33,20.83,26.32,12.03,14.74,32.43
yeast-2_vs_4,63.64,69.23,74.07,81.48,63.64,56.6,82.35,78.57,74.07,26.32,77.78,83.87,56,72,71.43,71.43,66.67,17.96,0,73.33,71.43,16.87,68.97,76.92,38.89,70.27,68.97,68.75,16,17.96,29.41,66.67,63.16,17.65,25.42,66.67,66.67,64.52,64.52,76.92,62.07,36.14,66.67,74.07,64.52,17.65,70.97,68.97
