,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
poker-8_vs_6,77.29,99.55,99.44,89.04,63.03,79.86,98.75,98.98,99.44,89.24,69.42,89.24,0,62.02,42.82,0,0,34.22,81.65,74.89,87.61,0,77.98,89.17,40.21,41.43,0,41.7,0,36.64,36.33,40.55,40.99,39.02,38.03,41.1,63.03,100,89.34,100,44.47,62.53,100,100,89.34,100,66.78,100
shuttle-c0-vs-c4,100,26.31,25.61,25.61,38.41,22.98,22.98,25.61,25.96,38.41,99.73,38.41,99.54,99.54,99.82,99.82,99.82,22.98,81.76,99.54,99.54,99.82,98.72,99.82,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,100,100,100,100,100,98.07,39.35,100,100,98.99,100,100
vowel0,95.13,96.77,96.77,96.77,96.77,96.23,98.81,96.61,96.77,98.23,87.72,96.77,96.44,85.89,89.64,89.64,95.78,43.81,69.24,89.64,79.41,32.31,94.1,87.62,88.73,89.07,88.56,88.76,88.22,84.09,89.71,89.07,89.07,88.22,91.75,88.9,100,100,100,100,100,58.32,94.99,100,100,99.66,93.2,100
winequality-red-3_vs_5,0,77.83,77.83,78.85,0,35.36,76.27,77.42,77.63,51.58,78.75,56.61,57.32,0,0,0,57.32,12.01,47.03,55.33,0,0,64.3,57.04,75.11,74.46,73.6,54.15,0,12.01,13.87,72.06,74.25,15.5,89.87,86.6,0,79.06,79.26,78.24,57.32,31.77,65.04,79.06,79.26,56.33,55.9,78.85
winequality-red-4,0,40.05,39.84,23.72,0,32.1,49.19,33.54,46.61,44.28,69.28,47.14,0,31.89,38.73,53.94,0,18.26,19.36,33.79,22.91,40.14,60.94,35.55,58.08,62.27,57.83,57.52,0,17.68,19.9,60.06,58,26.22,36.99,64.03,0,47.2,40.57,48.13,25.22,18.26,19.9,60.69,33.67,61.8,59.41,66.75
winequality-red-8_vs_6,0,53.95,54.1,39.56,39.99,49.36,68.71,52.03,53.95,71.25,68.52,54.73,0,54.88,39.24,39.78,40.3,22.53,35.02,55.65,55.95,51.71,62.38,67.03,65.3,54.26,54.73,39.67,40.3,17.45,17.45,53.79,54.88,28.5,71.25,64.91,0,38.04,38.15,39.13,39.56,17.45,23.63,37.59,38.26,61.29,80.97,65.88
winequality-white-3-9_vs_5,0,66.67,66.57,33.03,33.03,21.72,50.07,57.84,66.01,62.71,67.13,68.42,72.15,49.19,44.53,55.08,33.03,14.22,34.18,50.84,42.05,50.34,53.35,61.08,73.37,73.37,73.49,46.18,33.03,14.22,14.22,71.32,73.49,15.72,74.05,78.69,0,65.57,73.73,71.89,33.03,14.99,17.09,70.67,60.79,62.09,70.49,61.93
winequality-white-3_vs_7,57.52,64.79,64.21,48.94,57.09,10.54,25.34,67.04,65.17,65.92,68.13,69.21,74.2,80.74,64.6,50.31,57.41,10.54,12.17,48.43,65.55,52.12,47.66,78.09,39.44,41.72,41.72,47.53,74.2,10.54,10.54,45.13,43.46,16.1,16.1,40.82,63.05,39.44,39.13,53.29,81.5,26.53,21.08,37.18,40.06,66.11,45.95,78.41
yeast-0-5-6-7-9_vs_4,59.96,77.14,77.14,78.6,76.62,71.67,76.55,81.59,78.02,51.19,65.32,79.46,71.18,64.18,56.17,63.44,58.73,34.57,22.12,80.94,60.74,32.59,65.64,65.88,36.63,40.26,40.31,39.56,38.13,0,38.85,40.95,39.65,70.96,55.73,78.06,59.55,77.14,79.44,76.25,78.02,76.96,84.92,78.51,78.89,68.12,77.14,84.16
yeast-1-2-8-9_vs_7,31.06,30.38,30.32,43.61,30.95,61.33,41.46,29.85,30.2,43.93,52.72,68.52,43.61,55.57,42.39,29.56,30.72,21.36,43.61,58.64,49.42,21.36,31.34,21.36,34.54,45.88,45.65,38.84,31.34,30.95,44.33,46,43.53,43.45,43.12,70.88,0,30.38,42.63,30.44,30.55,73.01,30.61,42.39,43.04,36.99,51.2,80.18
yeast-1-4-5-8_vs_7,0,74.89,81.35,55.33,45.88,72.87,53.26,79.49,74.25,51.89,42.99,75.74,0,42.37,50.16,31.35,0,23,0,52.2,41.09,23,0,54.15,37.98,43.36,43.85,48.04,36.98,0,42.18,43.85,45.47,0,41.86,66.67,0,64.76,64.55,68.17,69.53,70.41,54.01,62.02,66.02,47.03,51.73,75.11
yeast-1_vs_7,34.45,73.1,71.54,75.24,59.89,68.03,65.39,68.96,71.85,62.19,66.96,67.03,59.89,60.49,56.39,73.72,48.15,25.54,0,63.42,57.1,25.54,70.9,67.3,52.22,53.42,53.84,50.81,67.16,71.54,69.29,51.69,53.84,36.12,71.48,48.72,0,69.61,70.58,65.11,64.83,71.22,73.1,67.3,70.58,39.01,60.12,78.37
yeast-2_vs_4,66.53,75.43,79.78,84.24,66.53,92.28,94.72,83.96,79.78,67.68,94.08,91.58,65.84,75.69,79.51,79.51,71.12,34.08,0,83.4,79.51,31.99,79.24,80.05,81.75,89.73,79.24,82.83,33.95,34.08,73.18,71.12,85.31,31.11,65.75,71.12,71.12,78.7,78.7,80.05,74.66,81.12,78.97,79.78,78.7,31.11,83.11,79.24
